Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
Ucca.柚见,"5,Jalan 19/29,46300 Petaling jaya,selangor Petaling jaya, 46300 Selangor",46300,Seksyen 19,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Vegetarian
Zǎo - Breakfast Anytime,"50, Jalan 19/3, Seksyen 19",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
Meat Feds by Chef Yenni Law,"7, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Reservations required
Mei by Fat Spoon (The Hub SS2),"B-G-05 The Hub SS2 19 Sentral, Jalan Harapan, Section 19",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
PsYCHoTiC OPeRAToR (WiNe SPaCe),"7, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Reservation required
Softsrve Ice Cream & Dessert Bar (Seapark),"5, Jalan 21/11a, Sea Park, 46300 Petaling Jaya, Selangor",46300,Sea Park,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
The Ding’s,"2nd FLOOR, Lot C-M2-02, BLOCK C, The HUB SS2, MEZZANINE, Jalan Harapan, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Upstairs
WineLust @ Jiospace,"Outlet 3&6, LOT 1, Jalan 19/1b, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / JioSpace,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
WOWNANA,"Outlet 11 Jiospace, Lot 1, Jalan 19/1b, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / JioSpace,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
海脚人 Hai Kah Lang PJ Seapark,"36, Jalan 21/12, Sea Park, 46300 Petaling Jaya, Selangor",46300,Sea Park,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Ah Wong Office,"20, Jalan 17/1a, Seksyen 17, 46400 Petaling Jaya, Selangor",46400,Sekyen 17,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,
Bistro à Table,"6, Jalan 17/54, Seksyen 17, 46400 Petaling Jaya, Selangor",46400,Seksyen 17,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Good Blue Men,"AG-01, Ground Floor,Block A, Happy Mansion, Jalan 17/13, Seksyen 17, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Hideaway Cafe,"AG7, Block A Happy Mansion Section, 17, Jalan 17/13, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Carrier / Stroller; Well-behaved pets
Jane's Nem (Happy Mansion),"Happy Mansion, AG5, Block A, Jalan 17/13, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Floratorie.co,"1075A, Jalan 17/27, Taman Gembira, 46400 Petaling Jaya, Selangor",46400,Seksyen 17,Petaling Jaya,Selangor,Food & Beverage,Indoor seating; Florist,Carrier / Stroller; Upstairs
Pohutukawa Coffee,"1075A, Jalan 17/27, Taman Gembira, 46400 Petaling Jaya, Selangor",46400,Sekyen 17,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Upstairs
Round Pizza Napoletana,"Happy Mansion, BG8, Block B, Jalan 17/13, Seksyen 17, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
Omulab,"7, Jalan 17/45, Seksyen 17",46400,Seksyen 17,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Restoran Choon Yien,"CG - 1, Jalan 17/13, Happy Mansion, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
SISTARS KITCHEN,"CG5, Happy Mansion, Block C, Jalan 17/13, 46400 Petaling Jaya, Selangor",46400,Happy Mansion,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Strangers at 47,"45, 47 49, Jalan 17/45, Seksyen 17",46400,Seksyen 17,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Bichii Coffee,"8/2, Jalan LGSB 1/3, Kampong, 47000 Sungai Buloh, Selangor",47000,Sungai Buloh,Sungai Buloh,Selangor,Food & Beverage,Outdoor seating,Upstairs
e-poojia cafe,"23A-2 Jalan LGSB 1/2, off, Jalan Hospital, Pusat Komersial LGSB, 47000 Sungai Buloh, Selangor",47000,Sungai Buloh,Sungai Buloh,Selangor,Food & Beverage,Indoor seating,Diapers required
Yin Her Restaurant,"AL114, Jalan Welfare, Kampung Baru Sungai Buloh, 47000 Sungai Buloh, Selangor",47000,Sungai Buloh,Sungai Buloh,Selangor,Food & Beverage,Outdoor seating,None
32 Degrees Grill & Bar,"LOT 1, i32, Jalan PPU2A, Bandar Puchong Jaya, Taman Perindustrian Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Banh Mi Cafe (Puchong),"1, Jalan Puteri 7/10, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Bun Viet Restaurant,"16, Jalan Puteri 5/5, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Chef Aw Restaurant 荣师父茶餐厅,"25, Jalan Kenari 17e, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Farmer's Bar @ Bandar Puteri Puchong,"6-1, Jalan Puteri 2/4, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Garage Korean BBQ Puchong,"51G, Jalan Kenari 17f, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Shi Yue Tian Claypot Chicken Rice Shop,"1, Jalan 23, Batu 8, Jalan Puchong, Taman Bukit Kuchai, 47100 Puchong, Selangor",47100,Taman Bukit Kuchai,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Huo Long MalaTang 火龍鍋 @ Bandar Puteri Puchong MALATANG MA LA XIANG GUO 麻辣烫 麻辣香锅,"12-G, Jalan Puteri 7/13A, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
c'est la vie café Puchong,"9-1, Jalan Kenari 17f, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Indoor seating,None
Hiao Po Tong Sui 姣婆糖水 Puchong,"No:11, Jalan Bandar 14, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Indoor seating,None
Mak Kee Wan Tan Mee 麥記細蓉,"1st Floor, 36-1, Jalan Puteri 1/2, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri Puchong,Puchong,Selangor,Food & Beverage,Indoor seating,None
MC Noodles Puchong 咖啡山四会濑粉,"6, Jalan Puteri 5/8, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Ngong Dog Dog,"NO.111, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Indoor seating; Pet cafe,None
Pom Pom By The Corner,"2, Jalan Bandar 13, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Indoor seating; Outdoor seating,None
Puchong Puteri Town Park,"24, 26 & 28, Jalan Puteri 5/8, Bandar Puteri Puchong, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Park,,None
Sawadee Thai Kitchen,"25, Jalan Puteri 5/3, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Taiwanese House 臺式老屋 @ Puchong,"23, Jalan Kenari 2, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Indoor seating,None
Take Ten Cafe,"36-1, Jalan Puteri 1/2, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri Puchong,Puchong,Selangor,Food & Beverage,Indoor seating,Upstairs
Tan Hotpot IOI Rio Puchong,"Lot 19, Persiaran Rio, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Indoor seating,None
Xiao Xiang Zi Restaurant | 小巷子 | Bandar Puteri Puchong,"No.28, 01, Jalan Puteri 1/4, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Indoor seating; Outdoor seating,Small breeds only
奶油爸爸 Buttermilk Daddy Cafe,"5-G, Jalan Bandar 14, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Indoor seating,None
Luckee Canteen 六记,"6, Jalan Bandar 13, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
MAD COFFEE,"IOI Rio, 15, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Medan Selera Everyday Foodcourt,"Jalan Bandar 1, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
NanYang Old Street Kopitiam南洋老街茶铺,"33-G, Jalan Bandar Sepuluh, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Oriental Kopi @ Bandar Puteri 华阳,"69 & 71, Jalan Puteri 2/3, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Peng Hiang Trading,"25, Jalan Merak, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Restoran Foo Hing Dim Sum,"1st Flr, No. 31, 33, 35-G, Jalan Puteri 2/6, Bandar Puteri Puchong, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Restoran Jin Xuan Hong Kong @ Bandar Puteri,"27, Jalan Puteri 1/6, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Fish Village Steamboat Restaurant,"28, Jalan Bandar 13, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
The Ice Cream Bar Puchong,"LPC GF 18, Block C, Le Pavillion, Jalan Puteri 7/13, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Walnut Cafe & Bar,"G-10, Ground Floor, Tower 4 & 5 PFCC, Jalan Puteri 1/2, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Wolf Grandma Traditional Shi Chuan Steamboat,"30, Jalan Bandar 13, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
莎莎面馆 SHASHANOODLES,"10, Jalan Puteri 2/3, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
老妈子养生冬瓜盅火锅 Low Maji Steamboat,"5, Jalan Puteri 1/4, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
肥妹仔烧烤 Fat Girl BBQ,"18, Lorong Pasar, Taman Puchong Utama, 47100 Puchong, Selangor",47100,Taman Puchong Utama,Puchong,Selangor,Food & Beverage,Outdoor seating,None
EZGO The Cube,"13a, Jln Puteri 7/13A, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Restoran Sin Daima Hokkien Mee,"56, Jalan Bandar 13, Pusat Bandar Puchong, 47100 Puchong, Selangor",47100,Pusat Bandar Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Piccoli Lotti Puchong,"16, Jalan Puteri 2/2, Bandar Puteri, 47100 Puchong, Selangor",47100,Bandar Puteri,Puchong,Selangor,Food & Beverage,Outdoor seating,None
N91 Cafe 好靓冰室,"Lot 3-2, sierra fresco, Jln Sierra 10/1, Bandar 16 Sierra, 47110 Puchong, Selangor",47110,Bandar 16 Sierra,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Bistro Monologue,"16, Jalan BP 7/11, Bandar Bukit Puchong, 47120 Puchong, Selangor",47120,Bandar Bukit Puchong,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Bug's Paradise Farm @ Puchong,"lot 46692, Jalan Pulau Meranti, Kampung Pulau Meranti, 47120 Puchong, Selangor",47120,Kampung Pulau Meranti,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Senmu Cafe 森木心灵咖啡馆,"Unit C -1 - 6, Dataran Puchong, Jalan PU 7/1a, Taman Puchong Utama, 47140 Puchong, Selangor",47140,Taman Puchong Utama,Puchong,Selangor,Food & Beverage,Indoor seating,None
My Lucki Cafe,"NO 17, Jalan Bandar 18, Pusat Bandar Puchong, 47160 Puchong, Selangor",47170,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Indoor seating,None
Gaon by Garage BBQ Puchong,"G15 Centroz, One Puchong, 1, Jln OP 1/3, Bandar Puchong Jaya, 47170 Puchong, Selangor",47170,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Kron Thai Cuisine,"E-G-23A, IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya, 47170 Puchong, Selangor",47170,Bandar Puchong Jaya,Puchong,Selangor,Food & Beverage,Outdoor seating,None
Loml.,"2942, Jalan Kinrara 6, Bandar Kinrara 6, 47180 Puchong, Selangor",47180,Bandar Kinrara,Puchong,Selangor,Food & Beverage,Indoor seating; Outdoor seating,
Bark A-Bout (Dog Social House),"1, Jalan SS2/66, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Activity,Swimming; Grooming; Boarding,None
Butter & Spice,"53, jalan ss2 / 30, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Cafe Bandit,"6, Jalan SS2/10, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Hakka Rang Restaurant SS2,"36, Jalan SS 2/10, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
A Kee Like Seafood Restaurant 记得来海鲜餐馆,"K-G-01 Pusat Dagangan NZX Jalan PJU 1A/41B 47300 Petaling Jaya Selangor, Malaysia Petaling Jaya, 47300 Selangor",47300,Pusat Dagang NZX,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Jojo Little Kitchen SS2,"47, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Kafe Wake Me Up,"No. 117, Jalan SS 2/6, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Kee Hiong Klang Bak Kut Teh SS2,"No. 61, 9-G, Jalan SS 2/75, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Kona Bakehouse,"49, Jalan ss2/30, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Aftermeal Desserts @ SS2,"33, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Bimba Cafe,"Second Floor, No. 36-2, Jalan SS2/66, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Upstairs
Loong Seng Dim Sum Restaurant,"50, Jalan SS 2/66, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Calibrate Small Space,"10, Jalan SS2/103, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
Croffle Cafe,"No 6, jalan ss2/55, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Upstairs; Reservations required
Flurrē by Fluffed,"19, Jalan SS 3/37, Taman Universiti, 47300 Petaling Jaya, Selangor",47300,Taman Universiti,Petaling Jaya,Selangor,Food & Beverage,Indoor seating; Ourdoor seating,Carrier / Stroller
Restoran Aunty Melon SS2,"26, Jalan SS 2/24, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Yellow Bake Day SS2,"50, Jalan SS 2/24, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Indoor seating; Outdoor seating,Carrier / Stroller
Pho King,"153, Jalan SS 2/6, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Prosperity Bowl Chicken Rice Restaurant | Restoran Prosperity Bowl Chicken Rice,"No. 19, Jalan SS 2/30, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Rekindle,"Ground Floor, 25, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Restaurant Teow Chew Meng,"33, Jalan SS 2/30, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Sun Hin Loong Restaurant | Restoran Sun Hin Loong,"65, Jalan SS 2/64, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Hawker centre
Tang Pin Kitchen,"24, Jalan SS 2/24, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
The Butcher's Table @SS2,"26, Jalan SS 2/103, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
The Italian Job,"31, Jalan SS 2/30, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Tiong Hokkien Mee,"Ground Floor, 89, Jalan SS 21/37, Damansara Utama, 47300 Petaling Jaya, Selangor",47300,Damansara Utama,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
TNR by Sean & Angie,"101, Jalan SS 2/6, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
一串串碌碌 PJ SS2,"179, Jalan SS 2/24, SS 2, 47300 Petaling Jaya, Selangor",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
夜宵食堂 Mama Mee @ PJ SS2,"54, Jalan SS2/72",47300,SS2,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Betty's Midwest Kitchen,"A-G-40, Jalan PJU 1/43, Aman Suria, 47301 Petaling Jaya, Selangor",47301,Aman Suria,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Blackwood Cafe Petaling Jaya,"A-01-05, Eve Suite, Jalan PJU 1A/41, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Upstairs
Cha Can Ting - 茶餐厅,"Ara Permata, 1 & 3, Jalan PJU 1a/42, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Cincin Megah Rise,"L1-2, First Floor, Megah Rise, Jalan SS24/9 Petaling Jaya, 47301 Selangor",47301,Megah Rise Mall,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Megah Rise Mall
Core Cafe,"80, Jalan PJU 1A/42B, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,
Dian Huo Hotpot,"Lot No.L3-3A, L3-3-AF & Terrace, 3rd Floor, Megah Rise Mall, Jalan SS24/9, Taman Megah, 47301 Petaling Jaya, Selangor",47301,Megah Rise Mall,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Megah Rise Mall
District 13 by 缔,"B-G-12A, Jalan PJU 1/43, Aman Suria, 47301 Petaling Jaya, Selangor",47301,Aman Suria,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Fat Olive Food Garage,"Menara Prima, B-G-17 Tower B Entrance, Jalan PJU 1/39, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
H.O.P Kopi 猪猪冰室 Ara Damansara,"Ara Permata, 5-37, Jalan PJU 1a/42, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Hainan Village Malayan Kopitiam (Petaling Jaya),"G-13A & 15, Megah Rise, 3, Jalan SS 24/9, Taman Megah, 47301 Petaling Jaya, Selangor",47301,Megah Rise Mall,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Megah Rise Mall
Heritage Kopitiam 大马茶室 (Ara Damansara),"30, Jalan PJU 1A/42B, Ara Permata, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Hainan Kopitiam - Kaw Kaw Energy,"89, Jalan PJU 1A/42B, Pusat Dagangan NZX, 47301 Petaling Jaya, Selangor",47301,Pusat Perdagangan NXZ,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Lakeview Seafood Restaurant | Restoran Lakeview Seafood,"58, Jalan SS 7/13a, Ss 7, 47301 Petaling Jaya, Selangor",47301,SS7,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Milligram - Coffee & Eatery,"No. 8, Jalan SS 26/4, Taman Mayang Jaya, 47301 Petaling Jaya, Selangor",47301,SS26 / Taman Mayang Jaya,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
New Yew Sang Seafood Restaurant | Restoran New Yew Sang Seafood,"18, Jalan SS 6/8, Ss 6, 47301 Petaling Jaya, Selangor",47301,SS6,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Tea Time Kopitiam | Restoran Tea Time Kopitiam,"23, Jalan SS 26/4, Seksyen 13, 47301 Petaling Jaya, Selangor",47301,SS26 / Taman Mayang Jaya,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Jamboo @ Ara Damansara,"Ara Permata, : 52A, Jalan PJU 1A/42A, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Jatujak Bangkok Street Food,"B-G, 31, Jalan PJU 1a/3j, Ara Damansara, 47301 Petaling Jaya, Selangor",47301,Ara Damansara,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
